ID,Type,ontology,onther mappings,synonym,Label,Parent,Text definition,Comments,Subclass of,Equivalent to,Disjoint with,Ignore,Annotations
,Class,oba,,,olecranon width,,The width of an olecranon,,,'width' and ('inheres in' some 'olecranon'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,,,p4-m3 length,,,,premolar tooth 4 - molar 3 length,length' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower fourth secondary premolar tooth' and 'has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar' and 'has_part' third secondary molar')) or ('part of' some 'premolar tooth 4 - molar tooth 3 length'),,,
,class,oba,,,P4-M3 length,,,,premolar tooth 4 - molar 3 length,length' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'lower fourth secondary premolar tooth' and 'has_part' 'upper first secondary molar' and 'has_part' 'upper second secondary molar' and 'has_part' 'upper third secondary molar')) or ('part of' some 'premolar tooth 4 - molar tooth 3 length'),,,
,class,oba,,,p4-m3 width,,,,premolar tooth 4 - molar 3 width,width' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower fourth secondary premolar tooth' and 'has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar' and 'has_part' third secondary molar')) or ('part of' some 'premolar tooth 4 - molar tooth 3 width'),,,
,class,oba,,,P4-M3 width,,,,premolar tooth 4 - molar 3 width,width' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'lower fourth secondary premolar tooth' and 'has_part' 'upper first secondary molar' and 'has_part' 'upper second secondary molar' and 'has_part' 'upper third secondary molar')) or ('part of' some 'premolar tooth 4 - molar tooth 3 width'),,,
,class,oba,,,Pelvis length of acetabulum,,,,,,,,
,class,oba,,,Pelvis length of acetabulum using the reverse side of the calipers,,,,,,,,
,class,oba,,,Phalanx 1 greatest breadth distal,,,,,,,,
,class,oba,,,Phalanx 1 greatest breadth proximal,,,,,,,,
,class,oba,,,Phalanx 1 greatest depth distal,,,,,,,,
,class,oba,,,Phalanx 1 greatest depth proximal,,,,,,,,
,class,oba,,,Phalanx 1 greatest length,,,,,,,,
,class,oba,,,Phalanx 1 smallest diameter sagittal plane,,,,,,,,
,class,oba,,,Phalanx 1 smallest diameter transverse plane,,,,,,,,
,class,oba,,,Phalanx 2 greatest breadth distal,,,,,,,,
,class,oba,,,Phalanx 2 greatest breadth proximal,,,,,,,,
,class,oba,,,Phalanx 2 greatest depth distal,,,,,,,,
,class,oba,,,Phalanx 2 greatest depth proximal,,,,,,,,
,class,oba,,,Phalanx 2 greatest length,,,,,,,,
,class,oba,,,Phalanx 2 smallest diameter sagittal plane,,,,,,,,
,class,oba,,,Phalanx 2 smallest diameter transverse plane,,,,,,,,
,class,uberon,,,premolar 3,,,,premolar tooth,,,,
,class,oba,,,premolar 3 length,,,,,length' and ('inheres in' some 'premolar 3'),,,
,class,oba,,,premolar 3 width,,,,,width' and ('inheres in' some 'premolar 3'),,,
,class,oba,,,premolar 4 length,,,,,length' and ('inheres in' some 'premolar tooth 4'),,,
,class,oba,,,premolar 4 width,,,,,width' and ('inheres in' some 'premolar tooth 4'),,,
,class,oba,,,premolar tooth 4 - molar 3 length,,,,,length' and ('has_part' some 'premolar tooth 4' and 'molar tooth 1' and 'molar tooth 2' and 'molar tooth 3'),,,
,class,oba,,,premolar tooth 4 - molar 3 width,,,,,width' and ('has_part' some 'premolar tooth 4' and 'molar tooth 1' and 'molar tooth 2' and 'molar tooth 3'),,,
,Class,oba,,,proximal epiphysis of tibia length,,The length of a proximal epiphysis of a tibia.,,,'length' and ('inheres in' some 'proximal epiphysis of tibia'),,,"IAO:0000119 ""Woodburne, M. O., Sondaar, P., & Eisenmann Vera. (1988). Studying fossil horses: collected papers after the New York International Hipparion Conference,  1981. Leiden: Brill."""
,class,oba,,,Radius greatest breadth proximal,,,,,,,,
,class,oba,,,Radius greatest depth distal,,,,,,,,
,class,oba,,,Radius greatest depth proximal,,,,,,,,
,class,oba,,,Radius greatest length,,,,,,,,
,class,oba,,,Radius proximal breadth of facet,,,,,,,,
,class,oba,,,Radius smallest diameter,,,,,,,,
,class,oba,,,Scapula ASG,,,,,,,,
,class,oba,,,Scapula diagonal height from the posterior proximal corner to the most distal point of the glenoidal lip,,,,,,,,
,class,oba,,,Scapula greatest breadth of the glenoid,,,,,,,,
,class,oba,,,Scapula greatest dorsal length the top edge of the scapula rim,,,,,,,,
,class,oba,,,Scapula greatest length of the glenoid,,,,,,,,
,class,oba,,,Scapula greatest length of the glenoid cavity (measured with the reverse side of venire calipers),,,,,,,,
,class,oba,,,Scapula height scapular spine,,,,,,,,
,class,oba,,,Scapula smallest length of the scapular Cullum/neck,,,,,,,,
,Class,oba,,,secondary canine width,,The width of a canine tooth.,,,'width' and ('inheres in' some 'secondary canine tooth'),,,
,Class,oba,,,tibia distal depth,,The depth of a distal region of a tibia.,,,'depth' and ('inheres in' some ('distal region' and ('part of' some 'tibia'))),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,,,Tibia greatest depth proximal,,,,,,,,
,class,oba,,,Tibia greatest length,,,,,,,,
,Class,oba,,,tibia proximal breadth,,The width of a proximal region of a tibia.,,,'width' and ('inheres in' some 'distal epiphysis of tibia'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,,,Tibia smallest diameter,,,,,,,,
,class,oba,,,Ulna depth across the process anaconaeus,,,,,,,,
,class,oba,,,Ulna greatest length,,,,,,,,
,class,oba,,,Ulna length of the olecranon,,,,,,,,
,class,oba,,,Ulna smallest depth of the olecranon,,,,,,,,
,class,oba,molar 1 length,,upper first secondary molar tooth length,,,,molar 1 length,length' and (('inheres in' some 'molar 1 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper first secondary molar tooth'),,,
,class,oba,molar 1 width,,upper first secondary molar tooth width,,,,molar 1 width,width' and (('inheres in' some 'molar 1 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper first secondary molar tooth'),,,
,class,uberon,,,upper fourth secondary premolar tooth,,,,,premolar tooth' and (part_of some 'upper jaw region') and (part_of some 'secondary dentition'),,,
,class,oba,,,upper fourth secondary premolar tooth length,,,,premolar 4 length,length' and (('inheres in' some 'premolar tooth 4') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper fourth secondary premolar tooth'),,,
,class,oba,,,upper fourth secondary premolar tooth width,,,,premolar 4 width,width' and (('inheres in' some 'premolar tooth 4') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper fourth secondary premolar tooth'),,,
,class,oba,,,upper molar tooth row length,,,,,length' and ('inheres in' some 'set of upper jaw teeth'),,,
,class,oba,molar 2 length,,upper second secondary molar tooth length,,,,molar 2 length,length' and (('inheres in' some 'molar 2 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper second secondary molar tooth'),,,
,class,oba,molar 2 width,,upper second secondary molar tooth width,,,,molar 2 width,width' and (('inheres in' some 'molar 2 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper second secondary molar tooth'),,,
,Class,oba,,,upper secondary canine width,,The width of an upper canine tooth.,,'secondary canine width','width' and ('inheres in' some 'upper secondary canine tooth'),,,"IAO:0000119 'Lillegraven,  J. A. 1969. Latest Cretaceous mammals of the upper part of Edmonton Formation of Alberta, Canada, and review of marsupial-placental dichotomy in mammalian evolution. University of Kansas Paleontological Contributions 50:1-122."""
,class,oba,molar 3 length,,upper third secondary molar tooth length,,,,molar 3 length,length' and (('inheres in' some 'molar 3 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper third secondary molar tooth'),,,
,class,oba,molar 3 width,,upper third secondary molar tooth width,,,,molar 3 width,width' and (('inheres in' some 'molar 3 tooth') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper third secondary molar tooth'),,,
,class,uberon,,,upper third secondary premolar tooth,,,,,premolar tooth' and (part_of some 'lower jaw region') and (part_of some 'secondary dentition'),,,
,class,oba,,,upper third secondary premolar tooth length,,,,premolar 3 length,length' and (('inheres in' some 'premolar 3') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper third secondary premolar tooth'),,,
,class,oba,,,upper third secondary premolar tooth width,,,,premolar 3 width,width' and (('inheres in' some 'premolar 3') and ('part of' some 'upper jaw dentition')) or ('inheres in' some 'upper third secondary premolar tooth'),,,
,Class,oba,,,vertebrate organism,NCBITaxon:33208,An individual organism that belongs to the group Vertebrata.,to be replaced by term from NCBI_taxon,,,,,
,Class,oba,,,vertebrate trait observing process,BCO:0000003,An observing process that measures a trait of a vertebrate organism. May measure an actual organism or an image of an organism.,,,'observing process' and ('has_specified_input' some 'vertebrate organism') and ('has_specified_output' some 'measurement datum'),,,
